,id,judul,penyanyi,link,lirik,lang
19,20,A Thousand Years,Mikha Angelo,https://lirik.kapanlagi.com/artis/mikha-angelo/a-thousand-years/,Heart beats fast Colors and promises How to be brave How can I love when I'm afraid to fall But watching you stand alone All of my doubt suddenly goes away somehow One step closer [Chorus:] I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more Time stands still Beauty in all she is I will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this One step closer [Chorus:] I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more One step closer One step closer [Chorus:] I have died everyday waiting for you Darling don't be afraid I have loved you For a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more,en
21,22,A Walk Into The Valley Of Death,Jakarta Flames,https://lirik.kapanlagi.com/artis/jakarta-flames/a-walk-into-the-valley-of-death/,"Close your eyes ,breath deeply and hear my voice Here I am standing by your side Close your eyes , see the sky open your mind Bring my soul to keep you alive Pray, before the sky is falling Pray, before the sky is bleeding And heaven close the gate We're dancing with the flames Rise, I will rise I scream at you, I'll scream I'm begging you, I'm finding you Take me with you, I'm gone Open your eyes, breath deeply and hear my voice Here I am I'm standing, I'm standing here",en
25,26,A Year Later,Kubik,https://lirik.kapanlagi.com/artis/kubik/a-year-later/,"Just when something goes wrong I hide it in my head because iâm feeling all worn out carrying your way around and maybe you are tired I had no wings to fly tasted like pearls a while now cut like a silver blade thereâs still whisper in the air strike you as they fall bent my ear, I wonât hear your red eye blue black sky pressure inside quiet outside no time to set things right you heard and I knew dinner will be dinner will be cold itâs too late you never understand",en
28,29,A.G.N.E.Z,Agnes Monica,https://lirik.kapanlagi.com/artis/agnes-monica/agnez/,"* It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's a day, it's a day It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's A.G.N.E.Z Suaraku, detak jantungku Membuatmu tergila - gila pada pesonaku Emosiku membawamu masuk dalam duniaku Tak usah kau ragukan dirimu Bawa saja jiwa dan semua imajinasimu * It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's a day, it's a day It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's A.G.N.E.Z Suaraku, detak jantungku... Wait...guys, lemme do something different around here It's my blood vein, it's my blood chain Dirty like blood stain, but I ain't gonna complain I ain't gonna pretend, I got you strained Now I'm in your brain Got yourself mad-brain, run you like a mad train This ain't a game where you can pause and save it It's a Jumanji game where you've gotta play all day * It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's a day, it's a day It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's A.G.N.E.Z * It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's a day, it's a day It's a day You wanna go there willin out it's okay Sho'em what you got and pop that body Popper krumper do ya thang It's A.G.N.E.Z",en
174,175,Adam And Eve,Nidji,https://lirik.kapanlagi.com/artis/nidji/adam-and-eve/,Is it a time to talk Or is it a time to wait This is a time for one source By killing my own believe When love is all that I know Love is faithless You and I Were meant to be Wanting that I believe Can I believe you and I Will never be apart Can still believe you and I Till time will let us live Can I believe you and I Will never be apart Can still believe you and I Till God will let us live When love is all that I know Although the answer lays in lie Don't deny and stay with me For all eternity And always will be Can I believe you and I Will never be apart Can still believe you and I Till time will let us live Can still believe you and I Till God will let us live,en
176,177,Adam N Eve,Nidji,https://lirik.kapanlagi.com/artis/nidji/adam-n-eve/,Is it a time to talk Or is it a time to wait This is a time for one source By killing my own believe When love is all that I know Love is faithless You and I Were meant to be Wanting that I believe Can I believe you and I Will never be apart Can still believe you and I Till time will let us live Can I believe you and I Will never be apart Can still believe you and I Till God will let us live When love is all that I know Although the answer lays in lie Don't deny and stay with me For all eternity And always will be Can I believe you and I Will never be apart Can still believe you and I Till time will let us live Can still believe you and I Till God will let us live,en
182,183,Adelaide Sky,Adhitia Sofyan,https://lirik.kapanlagi.com/artis/adhitia-sofyan/adelaide-sky/,Adelaide Sky I need to know what's on your mind These coffee cups are getting cold Mind the people passing by They don't know I'll be leaving soon I'll fly away tomorrow To far away I'll admit a clichÃ© Things won't be the same without you I'll be looking at my window seeing Adelaide sky Would you be kind enough to remember I'll be hearing my own foot steps under Adelaide sky Would you be kind enough to remember me I'll let you know what's on my mind I wish they've made you portable Then i'll carry you around and round I bet you'll look good on me I'll fly away tomorrow It's been fun I'll repeat the clichÃ© Things won't be the same without you I've been meaning to call you soon But we're in different times You might not be home now Would you take a message I'll try to stay awake And fight your presence in my head,en
196,197,Adoration,Say'A,https://lirik.kapanlagi.com/artis/saya/adoration/,"Hey there adoration At the first I see you when you playing skatebord Your tricks play amazed me hooooooooo.. And at that moment you fall down Iâm so shocked But you just smiling to your friends Hey there Adoration When you see me in my eyes I see you too Your eyes shine brighter than anyone Hey there adoration Now I know you Now weâre chummy ,Iâm so glad Sometime you said to me that Iâll be a part of your life Is it love at first sight? Is it love at first sight? Hey there adoration At the first I see you when you playing skatebord Your tricks play amazed me hooooooooo.. And at that moment you fall down Iâm so shocked But you just smiling to your friends Hey there adoration Iâve got so much words to say to you To give expression that I like you I want we can be the best couple Is it love at first sight? Is it love at first sight? Hey there adoration At the first I see you when you playing skatebord Your tricks play amazed me hooooooooo.. And at that moment you fall down Iâm so shocked But you just smiling to your friends Hey there adoration Iâve got so much words to say to you To give expression that I like you I want we can be the best couple...",en
216,217,After Glow,Rif,https://lirik.kapanlagi.com/artis/rif/after-glow/,"I still the night when I saw you I still the night when you were glowing in my room Reflected into my eyes and burning my eyes You woke me up From the years I slept There was a time in My life When every thing looked so bright and make me feel like iwas born again I'm staring into space and trying to drown in it Life is so beautiful, that's what I feel so I need to stand and shine and glowing just like when You are standing in my room You are so bright and so beautiful you make me beleive, You make me strong You make me sing, you mae me shine",en
217,218,After The Love Has Gone,Nu Dimension,https://lirik.kapanlagi.com/artis/nu-dimension/after-the-love-has-gone/,For awhile to love was all we could do We were young and we knew And our eyes were alive Deep inside we knew our love was true For awhile we paid no mind to the past We knew love would last Ev'ry night somethin' right Would invite us to begin the dance Somethin' happened along the way And yesterday was all we had Somethin' happened along the way What used to be happy was sad Somethin' happened along the way And yesterday was all we had And oh after the love has gone How could you lead me on And not let me stay around Oh oh oh afterthe love has gone What used to be right is wrong Can love that's lost be found Oh oh oh oh oh oh after the love has gone How could you lead me on And not let me stay around Oh oh oh afterthe love has gone What used to be right is wrong Can love that's lost be found Oh oh oh oh oh oh,en
225,226,Agony Remains Insane,Burgerkill,https://lirik.kapanlagi.com/artis/burgerkill/agony-remains-insane/,"Let me healing cure for madness I'll reborn, i'll reborn.. Incarnated holy sin buttfucked all sinners Revealed the disease, spreading the hatred.. Agony Remain Insane.. Worthless life terrorized I'm a weak and have no gut Remain insane.. Get it lost...Get it lost! Too scare to hear you.. I lost Withers in my autumn soul. Shattered faith.. Scattered brain.. Lost! I can't feel my wrath anymore,i'm stuck in my autumn soul.. Stuck in my autumn soul!",en
625,626,Aku Kangen Aku Rindu,Alexa Key,https://lirik.kapanlagi.com/artis/alexa-key/aku-kangen-aku-rindu/,I miss your body I miss your face I miss your breathe And I miss your finger I miss your cards On your credit cards I miss your house And I miss your dog I miss your neck And I miss your eyes Miss your carrying your Belly Button I miss your love And I miss your laugh Miss your life And I miss your lies I miss you smell of your body Miss the smell of your breath I miss the way you laugh Aku kangen matamu Dan aku rindu Caramu melihat aku I miss some of your voice I miss you when you talk I miss the way you walk Aku kangen pelukmu Aku rindu belaimu Aku kangen aku rindu Sumpah aku rindu kepadamu Sumpah aku kangen kepadamu I never talk I could be on this way Cinta setengah mati I miss the shape of your lips I miss the taste of your lips Aku kangen cium kamu I miss the shape of your lips I miss the taste of your lips Aku kangen aku rindu Sumpah aku rindu kamu selalu Sumpah aku ingin bersama selalu I never felt this out of place before Cuma kamu yang bisa Buat aku begini I miss your body I miss your face I miss your breathe And I miss your finger I miss your body I miss your finger I miss your cards On your credit cards I miss your house And I miss your dog I miss your cards I miss your dog I miss your neck And I miss your eyes Miss your carrying your Belly Button I miss your eyes I miss you hand I miss your love And I miss your laugh Miss your life And I miss your lies I miss your life I miss your battle Sumpah aku rindu kepadamu Sumpah aku kangen kepadamu I never talk I could be on this way Cinta setengah mati Sumpah aku rindu kamu selalu Sumpah aku ingin bersama selalu I never felt this out of place before Cuma kamu yang bisa Buat aku begini,en
903,904,Albatross,Pure Saturday,https://lirik.kapanlagi.com/artis/pure-saturday/albatross/,"i. Candle lit & moonshine To have a better light, fire will always be on mine Oh why, in this short time life Things are covered by uncertained trust As though the feelings frightened In every step, in every breath Should it seems to look strong Things are covered by uncertain trust As though the feelings frightened In every step, in every breath Why can't we be free as free as a child Why can't we care like mother to their child Why do we still stuck in this circle life Oooh why..??? ii. Embrace the day We need to see those smiles We need to say those words We need to feel the true you Surviving our soul It has to go and then I take my chance This situation is going deep and clueless It has to go and then I take my chance This situation is going deep and clueless Where would it stop? Where would it stop again. Ooh im tired of this feeling, au god im tired. iii. Dream a new dream When we are sleeping thru the quiet night All the darkest places seem so bright Dreams are just begun Even the moon is pretending to shine And the stars are trying to smile The angels are flying so high Leaving us behind to play the night I have never believed in faith But somehow it lives by me Yet still it is the only dream I know. It's the only dream we know.",en
906,907,Alhamdulillah,Too Phat,https://lirik.kapanlagi.com/artis/too-phat/alhamdulillah/,"Chorus Ult li albi bissaraha (I'm opening up my heart with honesty) Hayya nab'idil karaha (Letâs avoid the hated and hatred) Syakkireena a' kulli ni'ma (Let's remain thankful with what we have) Ba' ideena anil fattana (Let's avoid all lies and sins) Verse 1 I feel the heat From these 4 candles burning As I'm staring out the window In solitude I look at life From different angles Thoughts strangled My mind is suffocatin' In this truth quest A greed law That we abide by is ruthless Enough will never satisfy Until we toothless Filthy millionaires Are gamblin' until they muflis A sad fact of life But mankind approved this I gotta call Him Sajadah is where the booth is I'll make it clear that I ain't even tryin' to preach here By sharing thoughts I hope To find a little peace here I thank Allah for blessing me To be creative So here's a diss for me For bein' unappreciative Wanted a perfect life Yeah smile then die old Fame, money, women Phat cribos and white gold Drive my own Beemer Before I hit two six A straight pink bitin' toothpicks Who walk around town wit' two chicks And doin' new hits to woo tricks.... Now that's wrong Pleasure from partyin' And bull ish don't last long A lotta yuppies sneakin' Cars out when dad's gone Crackin' bottles in clubs Frontin' designer fashion But I ain't about To trade happiness for a Jag So stop smilin' with your ragtop down Cause for a fact I don't care about your money Or how slick your car 'Cause no matter how rich and big you are It's still Allahuakbar... Chorus Ult li albi bissaraha (I'm opening up my heart with honesty) Hayya nab'idil karaha (Letâs avoid the hated and hatred) Syakkireena a' kulli ni'ma (Let's remain thankful with what we have) Ba' i",en
918,919,Alive,Ipang,https://lirik.kapanlagi.com/artis/ipang/alive/,"I keep thingking I'll be alright I wish I'll be on your mind Try to tell you how I feel I cant live my life alone I cant lie to my self As still miss you And wont let u pass by You always make me feel alive I feel you came into my soul And I know it seems like a fool But baby I feel like you lick me in the dark of misery I cant lie to my self You always in my heart Good bye All the memories we do Will foerever in my mind Good bye All the memories we do Will forever in my dreams I cant lie to my self I still miss you and wont let you pass by I cant lie to my self You always in my heart Good bye All the memories we do Will forever in my mind Good bye All the memories we do, babe Will forever in my dreams And I cant lie to my self I still need you And wont let you pass by",en
921,922,All Angels Cry,Superman is Dead,https://lirik.kapanlagi.com/artis/superman-is-dead/all-angels-cry/,"Can you tell me why, the world is so ugly And there ainât no pretty pictures everywhere I go Spend some of your time, and think of the answer Why must people get so scared most of their life Now tell me why Why the angels gonna cry To see the way we live our lives, where this, the heart goes? And tell me why Why the angels gonna cry I close my eyes and a better place will it come true Walking down the street, in one bloody cold night Where everyone is blind, they show you how to feed your hate Education now, war for tomorrow And I do believe weâre living on a time bomb! Now tell me why Why the angels gonna cry To see the way we live our lives, where this, the heart goes? And tell me why Why the angels gonna cry I close my eyes and a better place will it come true",en
922,923,"All Day, Every Day",Ice Cube,https://lirik.kapanlagi.com/artis/ice-cube/all-day-every-day/,Gangsta Slow That Shit Down Yea Who Wanna Ride With This? We Can Ride All Day EveryDay It's Do Or Die All Day Everyday It's Suicide All Day Everyday You'll Be High All Day Everyday I'm Rolling Down The Avenue Doing What I Gotta Do Sick As The Swine Flu Ain't Nothing Fine as You Must I Remind You What Is Behind You Drop It Down Took The Ground Like You Was Designed Too You Can Do It Lil Mama You Can Do It (You Can Do It) You Can Do It Lil Mama You Can Do It (You Can Do It) You Can Do It Lil Mama You Can Do It (Slow It Down) You Can Do It Lil Mama You Can Do It (And all That) We Can Do It All Day Everyday Get Into It All Day Everyday Drinking Fluids All Day Everyday I Presue It All Day Everyday You Can Have It Just Reach Out And Grab It (Reach Out And Grab It) You Can Have It Just Reach Out And Grab It (Reach Out And Grab it) Just Be Careful Don't Be A Silly Rabbit (Silly Rabbit) Recreation Use Will Turn Into A Habit (Cut The Shit) To The Ground Take It To The Ground Girl (Cut The Shit) To The Ground Take It To The Ground Girl (Cut The Shit) To The Ground Take It To The Ground Girl (Cut The Shit) Fuck The FEDS All Day Everyday (Yea Yea) And Chickenheads All Day Everyday (Yea Yea) Get Your Bread All Day Everyday (Okay) Use Your Head All Day Everyday You Can Do It Lil Mama You Can Do It You Can Do It Lil Mama You Can Do It (You Can Do It) You Can Do It Lil Mama You Can Do It You Can Do It Lil Mama You Can Do It (Drop That Shit) All Day Everyday (Certified) All Day Everyday (Qualified) All Day Everyday (Westcoast Warlord) All Day Everyday (Roll That I Blase That Nigga Fuck Way Back I Dos That I Does That Homie What Was That?),en
923,924,All For The Money,Gigi,https://lirik.kapanlagi.com/artis/gigi/all-for-the-money/,when dusk come I saw some people with dirty clothes roaming with no end every day I saw some people with tie on and a bag in his hand every night there are these people with hot legs and sweet smile just for sale every where sight of the people with joyful face and fuckin bitter sorrow to spare see the world with all these people lead their lives and I just don`t care anymore bridge that`s only for one..one word mention oh..for the money ahâ¦all for the money oh yeah sweet monet dirty money blood money,en
924,925,All For You,True Worshippers,https://lirik.kapanlagi.com/artis/true-worshippers/all-for-you/,"Heart my heart it's calling To you my never ending None that I desire but You Picked me up from my shame (You've ) pulled me from the darknes mighty is the power of your cross God my savier Lord of wonder All my heart, all my soul, all for you My defender, I surrender All of me, all for you Yesus Catch me when I'm falling You hear me when I'calling Faithful ad unfailing to me.",en
925,926,All I Am,Yana Julio,https://lirik.kapanlagi.com/artis/yana-julio/all-i-am/,Who do yo think you see When you look at me Is it somebody strong Somebody you could admire And who do you think I am When I take your hand Are you counting to me To fill your dreams and your desires Well all I am Is lonely just like you All I want to do Is have one dream comes true All I am is handing you my heart And hoping to be part of you Who do you think you are Standing in the dark Are you waiting for me Why can't reach you from here And how do I get to you Won't you let me through Don't you think maybe we Have something special to be shared,en
926,927,All I Need,Air,https://lirik.kapanlagi.com/artis/air/all-i-need/,"All I need is a little time, To get behind this sun and cast my weight, All I need is a peace of this mind, Then I can celebrate. All in all there's something to give, All in all there's something to do, All in all there's something to live, With you ... All I need is a little sign, To get behind this sun and cast this weight of mine, All I need is the place to find, And there I'll celebrate. All in all there's something to give, All in all there's something to do, All in all there's something to live, With you ...",en
928,929,All Power All Glory,True Worshippers,https://lirik.kapanlagi.com/artis/true-worshippers/all-power-all-glory/,"I have seen Your glory I have heard Your fame Lord Now I stand in awe of All Youâve done Your splendorâs like the sunrise Powerâs in Your hands Now I will sing and shout of All Youâve done All power, all glory Praises be unto You forever My soul sings as I bring My life to worship You my Majesty You alone, in You alone I will live, I will move And have my being",en
929,930,All The Time,The SIGIT,https://lirik.kapanlagi.com/artis/the-sigit/all-the-time/,"I wanna live forever Whom you realize forever means together I hope you know When you say it wasnât over For the third times I hope you know You make me wanna give me something, more and more Aaaâ¦wanna give you hold All the time And wear you robe Itâs just, for the pooring rain That never end All the time (My life is raining all the time) I wanna live forever Iâm the oak tree Forever scar the stranger I wanna grow my hair and nails you up my life I hope to do change your last name and be a wife Aaaâ¦ wanna share my lungs All the time Itâs face the sun Itâs just, like a burning pain That i be alone All the time (My life itâs burning all the time)",en
931,932,All You Need,William Gomez,https://lirik.kapanlagi.com/artis/william-gomez/all-you-need/,"Memories came by Just like the falling rain It washed away my mask And realized my pain What you're looking for? What you're hoping for? (In Life) Never say quits Especially when you're young You gotta crawl Before you learn to run What you're looking for? What you're hoping for? All you need is love You'll find it here right here, right here All you need is trust A second chance to fix this mess Things do turn around Whenever and all the time And it forces you to choose Between black and white What you're living for What you're dying for",en
932,933,All Your Love,Siti Nurhaliza,https://lirik.kapanlagi.com/artis/siti-nurhaliza/all-your-love/,"There's something so special in the air, I can feel it closing in I like the way you pretend you don't care, it's got me fascinated Look in my eyes, say's that I'm ready for me to take you over So don't stop talking, quit acting surprised, I want you to tell me something Please me, turn around and won't you keep on teasing me You know that I'm ready for your love You're the only one I'm thinking of So won't you give it to me Cause your loves got me flying through the sky, I'm so high Nobody's had me feeling like you do, so I want you to stop playing and give it to me, give it to me all your love, all your love give it to me, give it to me all your love give it to me, give it to me all your love, all your love give it to me, give it to me all your love There's something about you, I'm lost for words, I feel I'm getting weaker When you look at me, I'm taken back, I feel it getting deeper Don't stop now, we've come too far to say we're feeling nothing And I wanna know if we're just playing a game or is it something stronger Please me, turn around and won't you keep on teasing me You know that I'm ready for your love You're the only one I'm thinking of So won't you give it to me Cause your loves got me flying through the sky, I'm so high Nobody's had me feeling like you do, so I want you to stop playing and give it to me, give it to me all your love, all your love give it to me, give it to me all your love give it to me, give it to me all your love, all your love give it to me, give it to me all your love Now mami fall back I can be the one that takes you all around the world and do all that daddy got game, they know my name, chicks only love me cause of my fame Now I can take you from your man if I want to I can't leave you alone your too fly boo and I be picking up on all of your vibes to so come with me give me something cause I need your love Your loves got me flying through the sky, I'm so high Nobody's had me feeling like you do, so I want you to stop playing and give it to me, give it to me all your love, all your love give it to me, give it to me all your love give it to me, give it to me all your love, all your love give it to me, give it to me all your love All your love, all your love, all your love your love, your love, all your love",en
950,951,Allahu Allah,Sami Yusuf,https://lirik.kapanlagi.com/artis/sami-yusuf/allahu-allah/,Chorus Allahu Allahu Allahu Allahu Allahu Allahu Truly He is the One He has no father or son Everything in creation was by Him begun With His infinite power anything could be done Ask Allah for His Pardon And youâll enter the Garden Chorus Before Him there were none Of partners He has none He knows what is apparent and what is hidden All the fate of creation has already been written His Will is always done And can never be undone Chorus From amongst all humans Muhammad was chosen He was illiterate and he was an orphan Yet Allah sent him to those who were pagans Oh Allah let us drink From his hand in the fountain Chorus Ya Allah Youâre the Sovereign Youâre the Sultan of Sultans Please protect me from Shaytan and all of his treason Let him not with his whispers my iman ever weaken My only wish in this life Is to attain Your Pardon,en
954,955,Almost,Letto,https://lirik.kapanlagi.com/artis/letto/almost/,"Does it all make sense Or make you go insane Do you really need a pain To have what you again You try hard And try harder U never stop Or pause on whatever Do you know what you want to be Money gives u ALMOST Everythingu need Love gives you ALMOST all The peace you'll ever seek Fame gives you ALMOST Every pride you can crave Freedom gives you the illusion Of being brave How far will you go for ""almost"" We'll know in a few years We're all connected I think you can feel it Why do you keep denying The inevitable thing Where are you? That's you and me Is everything fine? Is",en
